Date,PS3 player count
2/3/2019,1360700
2/4/2019,1361000
2/5/2019,1361200
2/6/2019,1361300
2/7/2019,1361500
2/8/2019,1361600
2/9/2019,1361800
2/10/2019,1362100
2/11/2019,1362500
2/12/2019,1362700
2/13/2019,1363000
2/14/2019,1363200
2/15/2019,1363400
2/16/2019,1363800
2/17/2019,1364300
2/18/2019,1364700
2/19/2019,1364800
2/20/2019,1365100
2/21/2019,1365400
2/22/2019,1365700
2/23/2019,1365900
2/24/2019,1366400
2/25/2019,1366800
2/26/2019,1366800
2/27/2019,1367000
2/28/2019,1367200
3/1/2019,1367300
3/2/2019,1367600
3/3/2019,1367900
3/4/2019,1368200
3/5/2019,1368600
3/6/2019,1368800
3/7/2019,1369000
3/8/2019,1369200
3/9/2019,1369500
3/10/2019,1369900
3/11/2019,1370100
3/12/2019,1370200
3/13/2019,1370300
3/14/2019,1370400
3/15/2019,1370800
3/16/2019,1371000
3/17/2019,1371400
3/18/2019,1371700
3/19/2019,1371700
3/20/2019,1371900
3/21/2019,1372300
3/22/2019,1372400
3/23/2019,1372900
3/24/2019,1373100
3/25/2019,1373400
3/26/2019,1373600
3/27/2019,1373800
3/28/2019,1374100
3/29/2019,1374200
3/30/2019,1374700
3/31/2019,1374800
4/1/2019,1374900
4/2/2019,1375100
4/3/2019,1375100
4/4/2019,1375300
4/5/2019,1375700
4/6/2019,1376000
4/7/2019,1376400
4/8/2019,1376400
4/9/2019,1376700
4/10/2019,1376900
4/11/2019,1377200
4/12/2019,1377200
4/13/2019,1377400
4/14/2019,1377500
4/15/2019,1377900
4/16/2019,1378300
4/17/2019,1378600
4/18/2019,1378800
4/19/2019,1379100
4/20/2019,1379400
4/21/2019,1379800
4/22/2019,1380000
4/23/2019,1380300
4/24/2019,1380500
4/25/2019,1380700
4/26/2019,1380900
4/27/2019,1381100
4/28/2019,1381600
4/29/2019,1381800
4/30/2019,1381900
5/1/2019,1382100
5/2/2019,1382200
5/3/2019,1382300
5/4/2019,1382800
5/5/2019,1383000
5/6/2019,1383000
5/7/2019,1383100
5/8/2019,1383200
5/9/2019,1383400
5/10/2019,1383500
5/11/2019,1383600
5/12/2019,1384100
5/13/2019,1384200
5/14/2019,1384400
5/15/2019,1384700
5/16/2019,1384800
5/17/2019,1384800
5/18/2019,1385100
5/19/2019,1385300
5/20/2019,1385500
5/21/2019,1385600
5/22/2019,1385700
5/23/2019,1385900
5/24/2019,1386100
5/25/2019,1386200
5/26/2019,1386400
5/27/2019,1386600
5/28/2019,1386700
5/29/2019,1386700
5/30/2019,1386900
5/31/2019,1387000
6/1/2019,1387300
6/2/2019,1387600
6/3/2019,1387800
6/4/2019,1387900
6/5/2019,1388000
6/6/2019,1388400
6/7/2019,1388500
6/8/2019,1388800
6/9/2019,1388900
6/10/2019,1389100
6/11/2019,1389400
6/12/2019,1389500
6/13/2019,1389500
6/14/2019,1389800
6/15/2019,1390000
6/16/2019,1390200
6/17/2019,1390300
6/18/2019,1390400
6/19/2019,1390500
6/20/2019,1390900
6/21/2019,1391100
6/22/2019,1391200
6/23/2019,1391400
6/24/2019,1391700
6/25/2019,1391900
6/26/2019,1392000
6/27/2019,1392300
6/28/2019,1392600
6/29/2019,1392900
6/30/2019,1393200
7/1/2019,1393500
7/2/2019,1393800
7/3/2019,1394100
7/4/2019,1394400
7/5/2019,1394400
7/6/2019,1394700
7/7/2019,1395000
7/8/2019,1395100
7/9/2019,1395400
7/10/2019,1395700
7/11/2019,1395900
7/12/2019,1396300
7/13/2019,1396600
7/14/2019,1396900
7/15/2019,1397100
7/16/2019,1397200
7/17/2019,1397500
7/18/2019,1397700
7/19/2019,1397900
7/20/2019,1398000
7/21/2019,1398300
7/22/2019,1398600
7/23/2019,1398800
7/24/2019,1399100
7/25/2019,1399200
